host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
0.0202,20973,216,0.0,125.6619,-0.075,0.0000,0,0,0
0.0202,20974,216,0.0,125.6634,-0.038,0.0000,0,0,0
0.0202,20975,216,0.0,125.6619,-0.019,0.0000,0,0,0
0.0202,20976,216,0.0,125.6619,-0.040,0.0000,0,0,0
0.0202,540,0,0.0,-0.0015,0.194,0.0000,0,0,0
0.0202,541,0,0.0,-0.0031,0.097,0.0000,0,0,0
0.0202,542,0,0.0,0.0046,0.240,0.0000,0,0,0
0.0202,543,0,0.0,-0.0046,0.082,0.0000,0,0,0
0.0202,544,0,0.0,-0.0046,-0.029,0.0000,0,0,0
0.0202,545,0,0.0,-0.0031,-0.014,0.0000,0,0,0
0.0404,546,0,0.0,-0.0061,-0.251,0.0000,0,0,0
0.0404,547,0,0.0,-0.0046,-0.126,0.0000,0,0,0
0.0404,548,0,0.0,-0.0015,0.014,0.0000,0,0,0
0.0404,549,0,0.0,-0.0046,-0.031,0.0000,0,0,0
0.0605,550,0,0.0,-0.0031,0.061,0.0000,0,0,0
0.0606,551,0,0.0,0.0000,0.146,0.0000,0,0,0
0.0606,552,0,0.0,-0.0046,-0.004,0.0000,0,0,0
0.0606,553,0,0.0,0.0000,0.113,0.0000,0,0,0
0.0807,554,0,0.0,-0.0031,0.057,0.0000,0,0,0
0.0807,555,0,0.0,-0.0046,-0.087,0.0000,0,0,0
0.0807,556,0,0.0,-0.0046,-0.043,0.0000,0,0,0
0.0807,557,0,0.0,-0.0061,-0.175,0.0000,0,0,0
0.1008,558,0,0.0,-0.0031,-0.088,0.0000,0,0,0
0.1009,559,0,0.0,-0.0015,0.033,0.0000,0,0,0
0.1009,560,0,0.0,-0.0031,0.051,0.0000,0,0,0
0.1210,561,0,0.0,-0.0015,0.130,0.0000,0,0,0
0.1210,562,0,0.0,-0.0031,0.065,0.0000,0,0,0
0.1210,563,0,0.0,-0.0061,-0.072,0.0000,0,0,0
0.1210,564,0,0.0,-0.0031,-0.036,0.0000,0,0,0
0.1411,565,0,0.0,-0.0077,-0.171,0.0000,0,0,0
0.1412,566,0,0.0,-0.0046,-0.124,0.0000,0,0,0
0.1412,567,0,0.0,-0.0031,0.015,0.0000,0,0,0
0.1412,568,0,0.0,-0.0031,0.007,0.0000,0,0,0
0.1613,569,0,0.0,-0.0046,0.080,0.0000,0,0,0
0.1613,570,0,0.0,-0.0046,0.040,0.0000,0,0,0
0.1613,571,0,0.0,-0.0061,-0.057,0.0000,0,0,0
0.1613,572,0,0.0,-0.0046,-0.067,0.0000,0,0,0
0.1814,573,0,0.0,0.0077,0.273,0.0000,0,0,0
0.1815,574,0,0.0,-0.0046,0.137,0.0000,0,0,0
0.1815,575,0,0.0,-0.0046,0.107,0.0000,0,0,0
